"id","name_company","inn_company","mail_company","tel_company","kpp_company","ogrn_company","registration_date_start","registration_date_end","adress_company","adress_index_company","boss_company"
59,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""МАРС-М""","7204080688","edelveis9@yandex.ru","79222612602","720301001","1037200658582","11.01.2019","11.01.2022","625056, ОБЛ ТЮМЕНСКАЯ, Г ТЮМЕНЬ, ПРОЕЗД ВОРОНИНСКИЕ ГОРКИ, 101, -, -",625056,"АЛЕКСЕЕВ НИКОЛАЙ АЛЕКСЕЕВИЧ"
60,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМАЦЕВТ""","3662200663","farmacevt.vrn@mail.ru","74732066313","366201001","1143668012938","11.01.2019","11.01.2022","394049, ОБЛ ВОРОНЕЖСКАЯ, Г ВОРОНЕЖ, УЛ КАРПИНСКОГО, ДОМ 39 Г,",394049,"ПРОСВЕТОВА КСЕНИЯ АЛЕКСЕЕВНА"
61,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬПЕНШАЙН""","2310124610","9633900@mail.ru","78612461016","231201001","1072310007076","11.01.2019","11.01.2022","350059, КРАЙ КРАСНОДАРСКИЙ, Г. Краснодар, УЛ. ОНЕЖСКАЯ, Д. 35, ПОМЕЩ. 16",350059,"ЖИГАЙЛОВА ТАТЬЯНА ВЛАДИМИРОВНА"
62,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТ 44""","1661059862","real.zb@yandex.ru","79625577307","166101001","1181690104562","11.01.2019","11.01.2022","420127, РЕСП ТАТАРСТАН, Г КАЗАНЬ, УЛ ДЕМЕНТЬЕВА, ЗД 2Б, КОРПУС 4, ОФИС 338",420127,"ЗИННАТУЛЛИН БУЛАТ ВАГИЗОВИЧ"
63,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКССТРОЙ""","6168023922","as-30@bk.ru","78632219318","616501001","1086168004064","11.01.2019","11.01.2022","344016, ОБЛ РОСТОВСКАЯ, Г РОСТОВ-НА-ДОНУ, УЛ ТАГАНРОГСКАЯ, 128 Б,",344016,"ЛЯШЕНКО АЛЕКСАНДР ФЕДОРОВИЧ"
64,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СНАБСЕРВИС""","4345387010","ooo.snabservice@mail.ru","78332472471","434501001","1144345012558","11.01.2019","11.01.2022","610005, ОБЛ КИРОВСКАЯ, Г КИРОВ, УЛ КАРЛА ЛИБКНЕХТА, 37, 192",610005,"КАБЕШОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ"
65,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕБИНАР ТЕХНОЛОГИИ""","7707340808","iva@webinar.ru","74951184444","770701001","1157746417575","11.01.2019","11.01.2022","127055, Г МОСКВА, ПЕР ПРИЮТСКИЙ, ДОМ 3, СТРОЕНИЕ 1,",127055,"АЛЬПЕРН АЛЕКСАНДР ВЕНИАМИНОВИЧ"
66,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕДПРИЯТИЕ КЛИН ТАЙМ""","9204001633","cleantime@list.ru","7869656457","920401001","1149204002903","11.01.2019","11.01.2022","299011, Г СЕВАСТОПОЛЬ, УЛ ЛЕНИНА, ДОМ 14,",299011,"ДОНЧЕНКО ТАТЬЯНА ГЕННАДЬЕВНА"
67,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАТИБОР""","3123446305","pavel.v@nxt.ru","74722231252","312301001","1183123031750","11.01.2019","11.01.2022","308004, ОБЛ БЕЛГОРОДСКАЯ, Г БЕЛГОРОД, УЛ ЩОРСА, ДОМ 46Г, ЭТАЖ 2, КАБ 5",308004,"ВАСИЛЬЕВ ПАВЕЛ ВЛАДИМИРОВИЧ"
68,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ  ""ЭЛЕКТРОСЕРТИФИКАЦИЯ""","7725555034","info@test-electro.ru","74993944156","772501001","1057749204215","11.01.2019","11.01.2022","115191, Г МОСКВА, УЛ МАЛАЯ ТУЛЬСКАЯ, 2/1, 8,",115191,"СУДНОВА ВАЛЕНТИНА ВИКТОРОВНА"
69,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЛБЕРТ""","5012060130","valbert.ru@mail.ru","74959831047","501201001","1105012001335","11.01.2019","11.01.2022","143989, ОБЛ МОСКОВСКАЯ, Г БАЛАШИХА, УЛ МАЯКОВСКОГО (ЖЕЛЕЗНОДОРОЖНЫЙ МКР.), ДОМ 12, ОФИС 325",143989,"МИТРИЧЕНКО ВАЛЕРИЙ ВЛАДИМИРОВИЧ"
70,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-НОВУС""","7727749758","manager@i-novus.ru","78432122050","165901001","1117746362777","11.01.2019","11.01.2022","420049, РЕСП ТАТАРСТАН, Г КАЗАНЬ, УЛ КАЧАЛОВА, ДОМ 75, ОФИС 1",420049,"ДРАНИЦА ИРИНА АЛЕКСАНДРОВНА"
71,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ 21 ВЕК""","7103053896","sk21wek@mail.ru","79105511811","710301001","1187154010120","11.01.2019","11.01.2022","300020, ОБЛ ТУЛЬСКАЯ, Г ТУЛА, УЛ ТОКАРЕВА, ДОМ 89, КВАРТИРА 81",300020,"ГАДЖИЕВ ЯМИН ГАДЖИЕВИЧ"
72,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОЕКТНОЕ БЮРО ""АРХИТЕК""","6670038628","ht1@mail.ru","79122442202","667001001","1036603534330","11.01.2019","11.01.2022","620137, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ БОТАНИЧЕСКАЯ, ДОМ 23, КВАРТИРА 28",620137,"ЧЕРЛОВА НАТАЛЬЯ АРКАДЬЕВНА"
73,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПСК""","8610018780","npsk78@gmal.com","73467297530","861001001","1068610010260","11.01.2019","11.01.2022","628186, АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г НЯГАНЬ, УЛ ЛАЗАРЕВА, ДОМ 22А, КОРПУС 4,",628186,"ПАТРАКОВ АЛЕКСАНДР ГЕННАДЬЕВИЧ"
74,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМЫ БЕЗОПАСНОСТИ""","7104067524","infosb71@mail.ru","79051101770","710401001","1157154006701","11.01.2019","11.01.2022","300013, ОБЛ ТУЛЬСКАЯ, Г ТУЛА, УЛ СЕРЕБРОВСКАЯ, ДОМ 91, КВАРТИРА 50",300013,"МОНОГАРОВ ПАВЕЛ АЛЕКСЕЕВИЧ"
75,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОРЕМОНТ""","6454113461","trmsar@mail.ru","78452208522","645401001","1116454007614","11.01.2019","11.01.2022","410017, ОБЛ САРАТОВСКАЯ, Г САРАТОВ, УЛ ШЕЛКОВИЧНАЯ, 37/45 А,",410017,"КУЛИКОВ ДМИТРИЙ БОРИСОВИЧ"
76,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ДИАЛОГ МЕТАЛЛСТРОЙ""","5001100783","dms.msk@bk.ru","79993666555","500101001","1145001003465","11.01.2019","11.01.2022","143908, ОБЛ. МОСКОВСКАЯ, Г. Балашиха, УЛ. ДОРОФЕЕВА, ВЛД. 1, ЭТАЖ 2 ПОМЕЩ. 19А",143908,"МАНУКЯН АРМЕН РУБЕРТОВИЧ"
77,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""ФИРМА СПУРТ-О""","7736026160","spurt-o@mail.ru","74953195815","772601001","1027700205235","11.01.2019","11.01.2022","117587, Г МОСКВА, Ш ВАРШАВСКОЕ, ДОМ 125, СТРОЕНИЕ 1, СЕКЦИЯ 6, ПОДВ., ПОМ.IБ,К.16",117587,"ФЕДОРЧЕНКО ПЕТР НИКОЛАЕВИЧ"
78,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННОЕ МОНТАЖНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""","5903139098","smeu.perm@bk.ru","73422343355","590601001","1185958029070","11.01.2019","11.01.2022","614051, КРАЙ ПЕРМСКИЙ, Г ПЕРМЬ, УЛ СТАРЦЕВА, ДОМ 3, КОРПУС 4, КВАРТИРА 120",614051,"НЕВЕРОВА ВАЛЕНТИНА НИКОЛАЕВНА"
79,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЙРА""","2635237285","MAYRA18@MAIL.RU","79383131821","263501001","1182651019528","11.01.2019","11.01.2022","355042, КРАЙ СТАВРОПОЛЬСКИЙ, Г СТАВРОПОЛЬ, УЛ 50 ЛЕТ ВЛКСМ, ДОМ 52, КОРПУС 1, КВАРТИРА 86",355042,"МАКЛЕЦОВ ВЛАДИМИР ВЛАДИМИРОВИЧ"
80,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННО-РЕМОНТНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОРЕМОНТ""","6454017510","office@teploremont.ru","78452413510","645401001","1026403347321","11.01.2019","11.01.2022","410017, ОБЛ САРАТОВСКАЯ, Г САРАТОВ, УЛ ШЕЛКОВИЧНАЯ, 37/45 А,",410017,"ЗАХАРОВ ДЕНИС АНАТОЛЬЕВИЧ"
81,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕЧАТНЫЙ ФОРМАТ""","9729249296","info@pformat.com","74993227251","772901001","1187746090795","11.01.2019","11.01.2022","119619, Г МОСКВА, УЛ 6-Я ЛАЗЕНКИ, ДОМ 2, СТРОЕНИЕ 15, ЭТ 1 ПОМ 11",119619,"САВЧУК АЛЕКСАНДР КОНСТАНТИНОВИЧ"
82,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМОНТНО-СТРОИТЕЛЬНАЯ ФИРМА""","1901043643","rsf19@bk.ru","79083268132","190101001","1021900533236","11.01.2019","11.01.2022","655008, РЕСП ХАКАСИЯ, Г АБАКАН, УЛ СКЛАДСКАЯ, 19,",655008,"НЕШТУН АЛЕКСАНДР ЛЕОНИДОВИЧ"
83,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САРАПУЛТЕПЛОЭНЕРГО""","1827019419","oooste@mail.ru","73414722115","183801001","1031804801863","11.01.2019","11.01.2022","427960, РЕСП УДМУРТСКАЯ, Г САРАПУЛ, УЛ ГОГОЛЯ, 78,",427960,"None"
84,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОДЕЖДА И МОДА""","3728026176","odegdaimoda@rambler.ru","74932531284","370201001","1023700540786","11.01.2019","11.01.2022","153038, ОБЛ ИВАНОВСКАЯ, Г ИВАНОВО, ПР-КТ СТРОИТЕЛЕЙ, ДОМ 6,",153038,"КАУРОВА НИНА ВИКТОРОВНА"
85,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНТГЕНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""АРТИСАН""","7734355602","rtc-artisan@yandex.ru","79255451342","773101001","1157746517642","11.01.2019","11.01.2022","121351, Г МОСКВА, УЛ ПАРТИЗАНСКАЯ, ДОМ 22, КВАРТИРА 41",121351,"КУЛИНИЧ ИЛЬЯ ЛЕОНИДОВИЧ"
86,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМСЕРВИС""","8610013950","avkhadievaa@mail.ru","73467255636","861001001","1028601502214","11.01.2019","11.01.2022","628181, АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г НЯГАНЬ, МКР 2-Й, 3, 46",628181,"None"
87,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КСК ГРУПП""","7810986426","kskgrupp2@bk.ru","79052232512","781001001","1147847195110","11.01.2019","11.01.2022","196084, Г САНКТ-ПЕТЕРБУРГ, ПР-КТ МОСКОВСКИЙ, ДОМ 136, КОРПУС 2 ЛИТЕР А,",196084,"ГНАТЮК МАКСИМ ВАСИЛЬЕВИЧ"
88,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРС""","7327047352","barssaf@mail.ru","78422676784","732501001","1087327003466","11.01.2019","11.01.2022","432030, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ МАЯКОВСКОГО, ДОМ 38,",432030,"САФОНОВА ТАТЬЯНА ВЛАДИМИРОВНА"
89,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРГО""","7806399094","argo_bk@bk.ru","78125203244","780601001","1089848017269","11.01.2019","11.01.2022","195248, Г САНКТ-ПЕТЕРБУРГ, УЛ БОЛЬШАЯ ПОРОХОВСКАЯ, 46, ЛИТ. А, ПОМ. 1-Н",195248,"ТАРАНЕНКО ЛИАНА АНДРЕЕВНА"
90,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР БЕЗОПАСНОСТИ ИНФОРМАЦИИ""","5054004240","mon@cbi-info.ru","74955805218","505401001","1025002033110","11.01.2019","11.01.2022","141090, ОБЛ МОСКОВСКАЯ, Г КОРОЛЁВ, УЛ ЛЕНИНСКАЯ (ЮБИЛЕЙНЫЙ МКР), 4, П/П10",141090,"СИДАК АЛЕКСЕЙ АЛЕКСАНДРОВИЧ"
91,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ПСКОВА""","6027124558","adpskov@gmail.com","79118936839","602701001","1096027015391","11.01.2019","11.01.2022","180019, ОБЛ ПСКОВСКАЯ, Г ПСКОВ, УЛ ТЕКСТИЛЬНАЯ, 7,",180019,"ГУБИН ЮРИЙ ИВАНОВИЧ"
92,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПА ГРУПП""","7838427259","svn@compa.spb.ru","79119212952","784001001","1097847150224","11.01.2019","11.01.2022","191119, Г САНКТ-ПЕТЕРБУРГ, УЛ КОЛОМЕНСКАЯ, ДОМ 31, ЛИТЕР А, ПОМЕЩЕНИЕ 2-Н",191119,"СМИРНОВ ВАСИЛИЙ НИКОЛАЕВИЧ"
93,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛСТРОЙГРУПП""","7713460162","globalstroygroup@mail.ru","79096666962","771301001","1187746639794","11.01.2019","11.01.2022","127411, Г МОСКВА, Ш ДМИТРОВСКОЕ, ДОМ 157, СТРОЕНИЕ 7, ОФИС  7223 ЭТАЖ 2",127411,"АФАНАСЬЕВ МАКСИМ ВЛАДИМИРОВИЧ"
94,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХРАННОЕ АГЕНТСТВО ""ПАТРИОТ""","6143097231","patriot525@inbox.ru","79287785993","614301001","1186196054384","11.01.2019","11.01.2022","347360, ОБЛ РОСТОВСКАЯ, Г ВОЛГОДОНСК, ПЕР ВОКЗАЛЬНЫЙ, ДОМ 56, ПОМЕЩЕНИЕ XI",347360,"ВАСИЛЬЕВ АНДРЕЙ ВИКТОРОВИЧ"
95,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОУТИС. ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""","1001095007","sales@notice.ru","78142599901","100101001","1021000507945","11.01.2019","11.01.2022","185011, РЕСП КАРЕЛИЯ, Г ПЕТРОЗАВОДСК, УЛ ТОРНЕВА (КУККОВКА Р-Н), 5А,",185011,"ЛАРИОНОВ ЮРИЙ ИВАНОВИЧ"
96,"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МАСТЕРОВ ДЕКОРАТИВНОГО И ПРИКЛАДНОГО ИСКУССТВА ""ПАЛАТА РЕМЕСЕЛ""","7801236096","palata-remesel@mail.ru","78123094277","783801001","1037858029703","11.01.2019","11.01.2022","190000, Г САНКТ-ПЕТЕРБУРГ, УЛ ГАЛЕРНАЯ, ДОМ 48, ЛИТЕРА А, ПОМЕЩЕНИЕ 13-Н",190000,"КАТКОВ СЕРГЕЙ АНАТОЛЬЕВИЧ"
97,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МК-ГРУЗСТРОЙ""","6732120498","ooo_srs_2014@mail.ru","79156476797","673201001","1166733053728","11.01.2019","11.01.2022","214036, ОБЛ СМОЛЕНСКАЯ, Г СМОЛЕНСК, УЛ ПОПОВА, ДОМ 52А, КВАРТИРА 87",214036,"КАКУТИА МЕВЛУД ЕМРИКОЕВИЧ"
98,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОСТСТРОЙ""","4401187586","info@gosttorgi.ru","79109210111","440101001","1184401003467","11.01.2019","11.01.2022","156007, ОБЛ КОСТРОМСКАЯ, Г КОСТРОМА, УЛ ЛЕНИНА, ДОМ 155, КВАРТИРА 31",156007,"None"
99,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМОССО""","6163142683","tender@amosso.ru","79649055917","616301001","1156196059249","11.01.2019","11.01.2022","344002, ОБЛ РОСТОВСКАЯ, Г РОСТОВ-НА-ДОНУ, УЛ ПУШКИНСКАЯ, ДОМ 80,",344002,"Лукьянова Ксения Николаевна"
100,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРИ-ЭНЕРГО""","1840013705","pvs@atri-energo.ru","73412908123","184001001","1121840009048","11.01.2019","11.01.2022","426053,  РЕСП УДМУРТСКАЯ18,  Г ИЖЕВСК,  УЛ САЛЮТОВСКАЯ,  ДОМ 5,  ПОМЕЩЕНИЕ 10",426053,"НЕКОПЫТКИН АНТОН ВИКТОРОВИЧ"
101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ ТЕХНОСЕРВИС""","9102003494","info@akkumpower.com","79787078767","910201001","1149102004370","11.01.2019","11.01.2022","295023, РЕСП КРЫМ, Г СИМФЕРОПОЛЬ, УЛ БЕСПАЛОВА, ДОМ 154,",295023,"КАРАЧЕВСКИЙ СЕРГЕЙ АЛЕКСАНДРОВИЧ"
102,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОМИР - ВОСТОК""","2464236105","2286786@mail.ru","73912286786","246401001","1112468045007","11.01.2019","11.01.2022","660052,  КРАЙ КРАСНОЯРСКИЙ24,  Г КРАСНОЯРСК,  УЛ ЗАТОНСКАЯ,  62,  СТРОЕНИЕ 1,",660052,"БУЗМАКОВ ПАВЕЛ ЮРЬЕВИЧ"
103,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЛИПЕЦКИЙ ПАССАЖИРСКИЙ ТРАНСПОРТ""","4823052820","zakupki@liptrans.ru","74742501641","482301001","1114823014140","11.01.2019","11.01.2022","398005, ОБЛ ЛИПЕЦКАЯ, Г ЛИПЕЦК, УЛ ФЕРРОСПЛАВНАЯ, 17,",398005,"None"
104,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР КЛИМАТА""","1327013088","rogachevmp@gmail.com","78342313555","132701001","1111327000817","11.01.2019","11.01.2022","430034, РЕСП МОРДОВИЯ, Г САРАНСК, УЛ ЛОДЫГИНА, ДОМ 3, ОФИС 409",430034,"РОГАЧЕВ МИХАИЛ ПЕТРОВИЧ"
105,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИТА""","6670342508","info@unita-group.ru","73433785596","667001001","1116670017804","11.01.2019","11.01.2022","620072, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ СЫРОМОЛОТОВА, 20, 374",620072,"ШАМАНСКАЯ ЯНИНА ВЯЧЕСЛАВОВНА"
106,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАМБОВСКИЙ АСФАЛЬТ""","6829019389","asfalt-tambov@mail.ru","74752494785","682901001","1066829014218","11.01.2019","11.01.2022","392018, ОБЛ. ТАМБОВСКАЯ, Г. Тамбов, УЛ. МИЧУРИНСКАЯ, Д. 50/18А,",392018,"И. о. мирового судьи судебного участка № 1 – мировой судья судебного участка № 2 Октябрьского района г. Тамбова"
107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРИА-МЕД""","7813448585","area-med@mail.ru","79217552818","781301001","1097847202595","11.01.2019","11.01.2022","197198, Г САНКТ-ПЕТЕРБУРГ, ПР-КТ БОЛЬШОЙ П.С., 18, ЛИТЕР А, ПОМЕЩЕНИЕ 12-Н",197198,"ПРОСЯНИК АЛЕКСЕЙ АЛЕКСАНДРОВИЧ"
108,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""АРТРОН КОМПЬЮТЕРС""","7709390138","ulyanov@artron.ru","74957898580","770901001","1027709017742","11.01.2019","11.01.2022","109147, Г МОСКВА, УЛ ВОРОНЦОВСКАЯ, ДОМ 35Б, КОРПУС 1, Э 1 ПОМ I КОМН 2",109147,"УЛЬЯНОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ"
109,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖРЕГИОНАЛЬНЫЙ ЦЕНТР СУДЕБНЫХ ЭКСПЕРТИЗ И ОЦЕНКИ""","6154561984","kandy999@mail.ru","78005500448","616301001","1096154003351","11.01.2019","11.01.2022","344022, ОБЛ. РОСТОВСКАЯ, Г. Ростов-на-Дону, УЛ. БОЛЬШАЯ САДОВАЯ, Д. 150, ЭТАЖ 3 КОМ. 1",344022,"КАНДИКУДРЯКОВ-ТИГРАНН НИКОЛАЙ НИКОЛАЕВИЧ"
110,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАЛОН""","8601052880","bulygin-vn@rambler.ru","79505040541","860101001","1148601001768","11.01.2019","11.01.2022","628010, АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г ХАНТЫ-МАНСИЙСК, УЛ ВАСИЛЬКОВАЯ, 19, 7",628010,"БУЛЫГИН ВИКТОР НИКОЛАЕВИЧ"
111,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МОЛОДЕЖНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ВОРОНЕЖ"" - ОБЛАСТНОЙ ШТАБ СТУДЕНЧЕСКИХ ОТРЯДОВ","3666041157","torgi@tdvoronezh.ru","74732597373","366401001","1033600058304","11.01.2019","11.01.2022","394030, ОБЛ ВОРОНЕЖСКАЯ, Г ВОРОНЕЖ, УЛ КОЛЬЦОВСКАЯ, ДОМ 62, ОФИС 30",394030,"ГРЕКОВ АЛЕКСАНДР МИХАЙЛОВИЧ"
112,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВЫЙ ДОМ ""ЭЛЕКТРОМАШ""","6150061243","info@tdelectromash.com","78635221521","615001001","1096183003400","11.01.2019","11.01.2022","346400, ОБЛ РОСТОВСКАЯ, Г НОВОЧЕРКАССК, УЛ ПРОСВЕЩЕНИЯ, 106Б,",346400,"СУЛЕЙМАНОВ АРСЕН АЛИЕВИЧ"
113,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЬВИНИЯ""","7704457011","kolvinia@gmail.com","79269075758","770401001","1187746578755","11.01.2019","11.01.2022","119048, Г МОСКВА, УЛ ЕФРЕМОВА, ДОМ 20, Э 1 П I КОМ 4 ОФ 120",119048,"ХВОРОСТ АЛЕКСАНДР СЕРГЕЕВИЧ"
114,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ МЕТИЗНАЯ КОМПАНИЯ""","7805628810","shtal@mtk-fortuna.ru","79219960855","782001001","1137847310501","11.01.2019","11.01.2022","196626, Г САНКТ-ПЕТЕРБУРГ, П ШУШАРЫ, ПРОЕЗД 2-Й БАДАЕВСКИЙ, ДОМ 1, ЛИТЕР А, ПОМЕЩЕНИЕ 103, ОФИС 1",196626,"АЛЕКСЕЕВ СТАНИСЛАВ АЛЕКСЕЕВИЧ"
115,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗСЕРФ""","7719818260","info@gazsurf.com","74959297148","772801001","1127746593974","11.01.2019","11.01.2022","117342, Г МОСКВА, УЛ БУТЛЕРОВА, ДОМ 17Б, Э 2 ПОМ XI К 60Е ОФ 159",117342,"БОЧАРОВА АЛЕКСАНДРА ВЛАДИМИРОВНА"
116,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ-СЕРВИС""","0277132254","bosufa@mail.ru","89173424138","027701001","1130280065112","11.01.2019","11.01.2022","450081, РЕСП БАШКОРТОСТАН, Г УФА, УЛ ШОТА РУСТАВЕЛИ, ДОМ 29, КВАРТИРА 41",450081,"ФЕДОРОВА ТАТЬЯНА ВАСИЛЬЕВНА"
117,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЦСПМ ИННОВАЦИИ""","7703806679","info@kcspm.ru","74959001008","773001001","1147746190679","11.01.2019","11.01.2022","121170, Г МОСКВА, ПР-КТ КУТУЗОВСКИЙ, ДОМ 36, СТРОЕНИЕ 3, ЭТ ЧЕРДАК ПОМ I КОМ 25",121170,"СИДОРИНА НАТАЛИЯ АЛЕКСАНДРОВНА"
